IlmnID,specific_cell_mean_beta,other_cells_mean_beta,abs_diff,percent_diff,change,CHR,MAPINFO,gene,feature,CellType
cg13781869,0.253706920751794,0.880603461341263,0.626896540589469,62.69,Up,1,209877614,HSD11B1,5'UTR; TSS1500,CD14
cg04851465,0.242701103918468,0.869464560842176,0.626763456923707,62.68,Up,1,212408609,,,CD14
cg01110616,0.189242259225691,0.81311045029415,0.623868191068459,62.39,Up,11,32055233,,,CD14
cg20918393,0.301995563974698,0.925711454780717,0.623715890806019,62.37,Up,20,19867136,,,CD14
cg22675702,0.17770035087438,0.791290787942041,0.613590437067661,61.36,Up,17,20026062,CYTSB,Body,CD14
cg24365417,0.17204770804115,0.783074018461952,0.611026310420803,61.1,Up,2,178939184,PDE11A,Body,CD14
cg25517015,0.187814580050732,0.797990852965999,0.610176272915267,61.02,Up,19,17584020,SLC27A1,Body,CD14
cg13290254,0.268423449376599,0.875626984860093,0.607203535483495,60.72,Up,12,125197730,,,CD14
cg04478930,0.235094800175285,0.83755880533146,0.602464005156175,60.25,Up,3,71927912,,,CD14
cg27366072,0.185965759637271,0.78735611702098,0.601390357383709,60.14,Up,12,12222913,BCL2L14,TSS1500,CD14
cg12192282,0.181355063194566,0.758322448881017,0.57696738568645,57.7,Up,2,143632190,,,CD14
cg07457727,0.275362654002299,0.851858869394723,0.576496215392424,57.65,Up,8,131451983,,,CD14
cg16356013,0.254572222440286,0.82279165185226,0.568219429411973,56.82,Up,5,134722079,H2AFY,Body,CD14
cg19015847,0.326841041991917,0.885546392127993,0.558705350136076,55.87,Up,2,40447561,SLC8A1,Body,CD14
cg13313836,0.295054167391236,0.848159586417293,0.553105419026058,55.31,Up,15,60687284,ANXA2,5'UTR; Body,CD14
cg11664417,0.324169347732704,0.876795245461164,0.552625897728459,55.26,Up,5,71883710,,,CD14
cg07099567,0.236263447136436,0.786253473941574,0.549990026805138,55,Up,14,81780369,STON2,Body,CD14
cg00646216,0.30241444144245,0.851132845248831,0.548718403806381,54.87,Up,16,73210822,,,CD14
cg22209723,0.358485205359389,0.905311536226865,0.546826330867476,54.68,Up,20,4742450,,,CD14
cg22056336,0.303174927634162,0.849392248616499,0.546217320982338,54.62,Up,4,40444001,RBM47,5'UTR,CD14
cg26953469,0.313753860916427,0.856804649718114,0.543050788801686,54.31,Up,10,31872296,,,CD14
cg04764839,0.275355618497291,0.816434714970558,0.541079096473267,54.11,Up,10,18708076,CACNB2,Body,CD14
cg16766036,0.419875227948887,0.94359926736191,0.523724039413023,52.37,Up,13,114800309,RASA3,Body,CD14
cg25765315,0.35256019926683,0.870670743200733,0.518110543933902,51.81,Up,12,92472232,,,CD14
cg27057036,0.34759906200721,0.863474056407705,0.515874994400495,51.59,Up,8,130997672,,,CD14
cg22694983,0.331302360338479,0.843378148575719,0.512075788237241,51.21,Up,3,177514999,,,CD14
cg15310871,0.387573871959164,0.887916687263465,0.500342815304301,50.03,Up,8,20077936,ATP6V1B2,3'UTR,CD14
cg05612654,0.386724296099121,0.879883055178962,0.493158759079841,49.32,Up,6,2375895,,,CD14
cg12893373,0.378923143374636,0.850667522188218,0.471744378813582,47.17,Up,3,97677056,MINA,Body,CD14
cg17601191,0.382338610285754,0.850624767453034,0.468286157167279,46.83,Up,13,31264764,,,CD14
cg06601993,0.398712480492258,0.865606140294938,0.466893659802679,46.69,Up,7,80244500,CD36,5'UTR,CD14
cg07328987,0.3859883552795,0.850713915310596,0.464725560031096,46.47,Up,13,47188916,LRCH1,Body,CD14
cg20433382,0.335235813818616,0.794859209779161,0.459623395960545,45.96,Up,6,125331312,RNF217,Body,CD14
cg20212077,0.328236411407077,0.779450422722595,0.451214011315518,45.12,Up,13,68194226,,,CD14
cg07185664,0.380214530412968,0.829482945390168,0.4492684149772,44.93,Up,17,1412950,INPP5K,Body,CD14
cg00357988,0.398027571355085,0.83597674709759,0.437949175742505,43.79,Up,12,122990019,RSRC2,3'UTR,CD14
cg15450349,0.426969897688001,0.85677761108743,0.429807713399429,42.98,Up,8,42269042,,,CD14
cg05452742,0.464005715038382,0.892313920357538,0.428308205319156,42.83,Up,11,34070756,,,CD14
cg10967114,0.470344063685802,0.895328904643218,0.424984840957416,42.5,Up,5,150442668,TNIP1,Body,CD14
cg14872074,0.294565304870005,0.717981454604566,0.42341614973456,42.34,Up,12,52306101,ACVRL1,5'UTR; TSS200,CD14
cg00177203,0.473137543013771,0.89599667980461,0.422859136790839,42.29,Up,1,149901142,MTMR11; SF3B4,Body; TSS1500,CD14
cg21385052,0.491907414540291,0.903879568286889,0.411972153746599,41.2,Up,1,149903249,MTMR11,Body,CD14
cg04977602,0.280444596507371,0.692164424616291,0.41171982810892,41.17,Up,5,35230728,PRLR,1stExon; 5'UTR,CD14
cg08454015,0.416478924447034,0.824220538303943,0.407741613856909,40.77,Up,1,240078452,,,CD14
cg19380581,0.503561178027167,0.895230813536035,0.391669635508867,39.17,Up,18,43611957,PSTPIP2,Body,CD14
cg03055440,0.440771467876908,0.83077499461615,0.390003526739241,39,Up,11,59950405,MS4A6A,5'UTR,CD14
cg22081096,0.410382261526668,0.796201763250733,0.385819501724065,38.58,Up,17,67137953,ABCA6,1stExon; 5'UTR,CD14
cg04710661,0.456633927446854,0.835553529457999,0.378919602011145,37.89,Up,X,2848381,ARSD,TSS1500,CD14
cg09907068,0.513457672171514,0.87949474602161,0.366037073850096,36.6,Up,2,197159060,HECW2,Body,CD14
cg24446326,0.39284595054441,0.757620055769132,0.364774105224722,36.48,Up,20,19952018,RIN2,Body,CD14
cg02032872,0.51096880198531,0.873830559234475,0.362861757249165,36.29,Up,19,44260537,C19orf61,TSS1500,CD14
cg06165982,0.524080770067933,0.886540850631345,0.362460080563412,36.25,Up,2,240499816,,,CD14
cg20860642,0.431618444173925,0.792656822604494,0.361038378430569,36.1,Up,X,12883857,TLR7,TSS1500,CD14
cg23497611,0.503761684371557,0.855876688909892,0.352115004538335,35.21,Up,2,37985316,,,CD14
cg03224812,0.503531126440451,0.850109844451916,0.346578718011465,34.66,Up,12,3807404,EFCAB4B,5'UTR,CD14
cg26338202,0.505657389766214,0.844906113566854,0.339248723800641,33.92,Up,6,163768326,,,CD14
cg07795766,0.601759622498004,0.937940400532043,0.336180778034039,33.62,Up,22,45608516,C22orf9,Body; TSS200,CD14
cg21935981,0.58525450758073,0.917931664117708,0.332677156536977,33.27,Up,22,45608465,C22orf9,Body; TSS200,CD14
cg01941278,0.504708424303887,0.833620492558791,0.328912068254904,32.89,Up,5,71895997,,,CD14
cg18010348,0.559761719082788,0.881979724723262,0.322218005640474,32.22,Up,11,129154745,,,CD14
cg18642425,0.586083627682867,0.907102496209573,0.321018868526706,32.1,Up,7,6465799,DAGLB,Body,CD14
cg20867674,0.478924233780189,0.797667075429695,0.318742841649507,31.87,Up,6,163768411,,,CD14
cg06694826,0.134463221982725,0.437521255730896,0.303058033748171,30.31,Up,6,15675176,,,CD14
cg11682858,0.559865732251542,0.8578931672263,0.298027434974758,29.8,Up,11,15822333,,,CD14
cg18770758,0.605778093724341,0.898388967932224,0.292610874207883,29.26,Up,3,194650099,,,CD14
cg14375050,0.601899170953882,0.89053492683239,0.288635755878508,28.86,Up,4,108848533,,,CD14
cg26971423,0.628158049802271,0.89980169856722,0.27164364876495,27.16,Up,15,63785031,,,CD14
cg27158011,0.59370359210996,0.864955142107293,0.271251549997333,27.13,Up,15,33188759,FMN1,Body,CD14
cg17890233,0.609875287902005,0.876545072925466,0.266669785023461,26.67,Up,7,6465684,DAGLB,Body,CD14
cg12458039,0.702504377056041,0.967019587048833,0.264515209992792,26.45,Up,7,210075,FAM20C,Body,CD14
cg15316734,0.621246807638404,0.881134155701514,0.25988734806311,25.99,Up,12,6657949,IFFO1,Body; 1stExon,CD14
cg20108872,0.639875083503577,0.89976567155183,0.259890588048252,25.99,Up,7,127595297,SND1,Body,CD14
cg16620283,0.667051127886582,0.923257224612163,0.256206096725581,25.62,Up,2,203155849,SNORD11B; NOP58,TSS200; Body,CD14
cg05141695,0.713590856153143,0.965483965314982,0.251893109161839,25.19,Up,6,341180,DUSP22,Body,CD14
cg15929771,0.659867341596345,0.91032232255556,0.250454980959215,25.05,Up,1,12466185,VPS13D,Body,CD14
cg11298524,0.637962278383464,0.883477504023722,0.245515225640258,24.55,Up,10,17118624,CUBN,Body,CD14
cg18231025,0.610785345043601,0.855574880371689,0.244789535328088,24.48,Up,1,59573471,,,CD14
cg25214561,0.613507900511066,0.856513680832666,0.243005780321601,24.3,Up,3,11494984,ATG7,Body,CD14
cg18405880,0.632791787499066,0.858639141347234,0.225847353848168,22.58,Up,3,63978545,ATXN7,Body,CD14
cg17324671,0.717349103443417,0.940340598785513,0.222991495342096,22.3,Up,2,148404745,,,CD14
cg14781778,0.647580876898606,0.870144156934969,0.222563280036363,22.26,Up,22,45608692,C22orf9,Body; TSS1500,CD14
cg04934519,0.649162160439373,0.871051575146111,0.221889414706738,22.19,Up,1,185303447,,,CD14
cg23952578,0.749963819392204,0.969887707541261,0.219923888149057,21.99,Up,1,116371871,,,CD14
cg08268692,0.696844911237417,0.902406705320128,0.205561794082711,20.56,Up,11,76998832,GDPD4,TSS1500,CD14
cg00383081,0.696391580502072,0.897710162641848,0.201318582139776,20.13,Up,1,182362088,GLUL,TSS1500,CD14
cg12251779,0.633547553553187,0.823371043535171,0.189823489981984,18.98,Up,22,45608440,C22orf9,Body; TSS200,CD14
cg17827328,0.782777134363842,0.970158689210926,0.187381554847084,18.74,Up,1,36817299,STK40,Body,CD14
cg17936145,0.740824389871703,0.921046494938714,0.180222105067011,18.02,Up,10,91067374,IFIT2,3'UTR,CD14
cg16288101,0.696924895227582,0.870071011595693,0.173146116368111,17.31,Up,14,88621538,,,CD14
cg25458147,0.712566085032352,0.883846478096949,0.171280393064598,17.13,Up,20,1919852,SIRPA,3'UTR,CD14
cg13319841,0.747153524472786,0.910884824975454,0.163731300502668,16.37,Up,20,42282773,,,CD14
cg06294954,0.715726890572386,0.877028941927595,0.161302051355209,16.13,Up,7,101789639,CUX1,Body,CD14
cg02524336,0.651934900350156,0.789961028613765,0.138026128263609,13.8,Up,5,81708454,,,CD14
cg06351055,0.778415161461918,0.913012249449323,0.134597087987405,13.46,Up,7,143080652,ZYX,Body,CD14
cg21223341,0.843945475515552,0.976489937096844,0.132544461581292,13.25,Up,9,136653337,VAV2,Body,CD14
cg19716542,0.757170600519811,0.88546668165606,0.12829608113625,12.83,Up,1,52302074,MIR761; NRD1,TSS200; Body,CD14
cg27299526,0.76626825679368,0.880895636233081,0.114627379439401,11.46,Up,12,6657744,IFFO1,Body,CD14
cg20078807,0.799235674216138,0.909063616571062,0.109827942354924,10.98,Up,22,45608713,C22orf9,Body; TSS1500,CD14
cg06400255,0.779502443706816,0.886806286479018,0.107303842772202,10.73,Up,16,30063046,ALDOA,TSS1500,CD14
cg05306029,0.81587390853372,0.920798363351344,0.104924454817624,10.49,Up,2,102117488,,,CD14
cg13152501,0.805675449233665,0.900867821833333,0.095192372599669,9.52,Up,7,98626398,SMURF1,3'UTR,CD14
cg01498219,0.834211358070457,0.915162855497408,0.080951497426951,8.1,Up,7,2812373,GNA12,Body,CD14
cg17812026,0.964256287588144,0.990645702305063,0.02638941471692,2.64,Up,17,1494379,SLC43A2,Body,CD14
cg02665297,0.079826764567597,0.948914884466882,0.869088119899285,86.91,Up,7,5270984,WIPI2,3'UTR,CD19
cg04828493,0.077586732770646,0.944854406138465,0.867267673367819,86.73,Up,13,111328783,CARS2,Body,CD19
cg25131632,0.072045102249774,0.921809946732264,0.84976484448249,84.98,Up,10,94549040,,,CD19
cg01024458,0.085977388626364,0.916882538001092,0.830905149374728,83.09,Up,1,8703816,RERE,Body,CD19
cg07721872,0.104690916663518,0.926769049214701,0.822078132551183,82.21,Up,16,87735256,LOC100129637,Body,CD19
cg19276014,0.151610758535452,0.972077082823907,0.820466324288455,82.05,Up,10,133598638,,,CD19
cg21596498,0.116812088184107,0.920093621863217,0.80328153367911,80.33,Up,19,42618407,POU2F2,Body,CD19
cg14936008,0.120861839306197,0.918049106365673,0.797187267059476,79.72,Up,14,107260014,,,CD19
cg11661493,0.090230036242389,0.884059411281268,0.793829375038879,79.38,Up,17,74423978,UBE2O,Body,CD19
cg05205074,0.101515734568762,0.894570704421335,0.793054969852573,79.31,Up,14,107259880,,,CD19
cg04153882,0.124527126122477,0.916577170988277,0.7920500448658,79.21,Up,7,5270928,WIPI2,3'UTR,CD19
cg16210395,0.093619122143638,0.88499871291544,0.791379590771802,79.14,Up,15,57802103,CGNL1,Body,CD19
cg17232476,0.099049545150522,0.889849930754375,0.790800385603853,79.08,Up,11,121440880,SORL1,Body,CD19
cg03248292,0.061237308924451,0.851830180105199,0.790592871180748,79.06,Up,12,92861062,,,CD19
cg05579731,0.092976452387048,0.880607691279514,0.787631238892466,78.76,Up,11,61648132,FADS3,Body,CD19
cg04838847,0.180354912014159,0.967468606525596,0.787113694511437,78.71,Up,8,110587155,GOLSYN,Body,CD19
cg17679619,0.102990750562614,0.889134818476681,0.786144067914067,78.61,Up,4,74542972,,,CD19
cg15035590,0.129811936353268,0.915777411006774,0.785965474653506,78.6,Up,3,66437456,LRIG1,Body,CD19
cg17995557,0.093885306667681,0.879923151436389,0.786037844768708,78.6,Up,10,126289971,LHPP,Body,CD19
cg16654610,0.098706708752766,0.879875577022581,0.781168868269815,78.12,Up,4,471390,ZNF721,5'UTR,CD19
cg13356455,0.099959717888934,0.879442838441682,0.779483120552748,77.95,Up,15,25962719,ATP10A,Body,CD19
cg18250453,0.121736994116649,0.899296582118579,0.77755958800193,77.76,Up,8,73924925,TERF1,Body,CD19
cg22212560,0.095400106973949,0.869756575583492,0.774356468609543,77.44,Up,11,65175482,FRMD8,Body,CD19
cg20602300,0.140067775186093,0.910326679643744,0.770258904457652,77.03,Up,15,40846077,C15orf57,3'UTR,CD19
cg12604490,0.109043552609679,0.876579013146578,0.767535460536899,76.75,Up,6,99373813,FBXL4,Body,CD19
cg21743182,0.107914056788876,0.873058097615214,0.765144040826337,76.51,Up,7,90339132,CDK14,Body,CD19
cg00760938,0.103373928559155,0.865777268801936,0.762403340242781,76.24,Up,2,217357159,,,CD19
cg23683962,0.137081458588142,0.896919157933301,0.759837699345158,75.98,Up,3,24549503,,,CD19
cg26810157,0.097425209445598,0.856348344027668,0.758923134582071,75.89,Up,15,57579076,TCF12,3'UTR,CD19
cg16148346,0.124960527956664,0.882826226884181,0.757865698927517,75.79,Up,11,58826475,,,CD19
cg25683989,0.115138205387865,0.87270350715546,0.757565301767595,75.76,Up,12,111124215,HVCN1,5'UTR,CD19
cg26121053,0.202764771447045,0.956172139648853,0.753407368201807,75.34,Up,10,49880599,,,CD19
cg12976793,0.159266681176518,0.911871982251053,0.752605301074536,75.26,Up,12,96584672,,,CD19
cg22381248,0.112993166764096,0.865555394960118,0.752562228196022,75.26,Up,1,42003713,HIVEP3,Body,CD19
cg08905753,0.107373060970596,0.859835441732048,0.752462380761453,75.25,Up,6,32783347,HLA-DOB,Body,CD19
cg22905350,0.132343433873416,0.883385609329782,0.751042175456367,75.1,Up,3,27401810,NEK10,5'UTR,CD19
cg06889975,0.124168590235661,0.874941889216679,0.750773298981018,75.08,Up,8,22558722,,,CD19
cg17123327,0.104627713313578,0.855211260456247,0.750583547142669,75.06,Up,X,9736580,,,CD19
cg22498365,0.129405682871733,0.879567219431375,0.750161536559642,75.02,Up,17,80829028,TBCD,Body,CD19
cg15348679,0.111091094894434,0.860717164495328,0.749626069600894,74.96,Up,21,45626491,,,CD19
cg27565966,0.123236248483756,0.872671191426131,0.749434942942375,74.94,Up,16,28943198,CD19,TSS200,CD19
cg07597976,0.071111090600018,0.81967970203573,0.748568611435712,74.86,Up,16,28943019,CD19,TSS1500,CD19
cg19766988,0.154033132185487,0.901943262993111,0.747910130807624,74.79,Up,19,10231711,EIF3G,TSS1500,CD19
cg25469923,0.096377917516325,0.843935433349087,0.747557515832761,74.76,Up,1,4087182,,,CD19
cg03980424,0.161839092157232,0.906915286376872,0.74507619421964,74.51,Up,10,3526723,,,CD19
cg19038462,0.163836306719042,0.908040339834712,0.74420403311567,74.42,Up,10,31715394,ZEB1,Body,CD19
cg07558704,0.200857695623084,0.944532355841035,0.743674660217951,74.37,Up,2,73286489,SFXN5,Body,CD19
cg22907103,0.110561924946409,0.853886615938238,0.743324690991829,74.33,Up,11,61124346,CYBASC3,5'UTR; 1stExon; Body,CD19
cg09469986,0.140062781723229,0.881500662786582,0.741437881063353,74.14,Up,13,31017306,,,CD19
cg15287850,0.113779846329108,0.853095208348565,0.739315362019458,73.93,Up,3,186739599,ST6GAL1,5'UTR; TSS200,CD19
cg03402235,0.143710873456976,0.882872908689464,0.739162035232488,73.92,Up,15,42749336,ZFP106,1stExon,CD19
cg18406852,0.186891764877806,0.92491632683197,0.738024561954164,73.8,Up,2,101010769,CHST10,Body,CD19
cg14331899,0.193221713071115,0.930964632118167,0.737742919047053,73.77,Up,11,61125360,CYBASC3,TSS1500; 5'UTR,CD19
cg00762029,0.188625679985726,0.925631918118228,0.737006238132501,73.7,Up,4,185317438,IRF2,Body,CD19
cg08939052,0.120795012746023,0.855425793391582,0.734630780645559,73.46,Up,1,59491890,,,CD19
cg10147394,0.11544193961061,0.848314328559517,0.732872388948908,73.29,Up,8,11350297,BLK,TSS1500,CD19
cg02582213,0.153774247788652,0.885141381159424,0.731367133370772,73.14,Up,16,89441654,ANKRD11,5'UTR,CD19
cg26795340,0.10500812149066,0.835557497501035,0.730549376010375,73.05,Up,12,50504814,GPD1; C12orf62,3'UTR; TSS1500,CD19
cg13915752,0.144513895876127,0.871835262852722,0.727321366976595,72.73,Up,6,111132613,CDK19,Body,CD19
cg18590995,0.092333896154716,0.819390289074473,0.727056392919757,72.71,Up,1,226558496,PARP1,Body,CD19
cg23730277,0.169407989881326,0.896303306913867,0.726895317032541,72.69,Up,4,102734752,BANK1,Body; TSS1500,CD19
cg03860768,0.103035336406309,0.827384662940986,0.724349326534677,72.43,Up,8,11351571,BLK,5'UTR; 1stExon,CD19
cg25838060,0.158863941069603,0.883166849974688,0.724302908905085,72.43,Up,7,139932729,,,CD19
cg16185947,0.117867669249661,0.838921713235581,0.72105404398592,72.11,Up,19,48689918,,,CD19
cg03337918,0.194895077462477,0.91485964733102,0.719964569868544,72,Up,8,96148290,PLEKHF2,5'UTR,CD19
cg04947949,0.193476150904949,0.910527194058223,0.717051043153274,71.71,Up,10,49892203,WDFY4,TSS1500,CD19
cg19260718,0.15101257934992,0.866563169340308,0.715550589990388,71.56,Up,11,75989014,,,CD19
cg18664915,0.142172056023985,0.857610195740579,0.715438139716594,71.54,Up,7,1043861,C7orf50,Body,CD19
cg00104562,0.128057538751323,0.841417699451823,0.7133601607005,71.34,Up,19,7767229,FCER2,TSS200,CD19
cg01463110,0.135772017225737,0.846895451559816,0.711123434334079,71.11,Up,Y,14648161,,,CD19
cg11699517,0.23430351009102,0.945128976735827,0.710825466644806,71.08,Up,17,79419796,BAHCC1,Body,CD19
cg22281206,0.17111692737799,0.881864734636136,0.710747807258146,71.07,Up,22,31522176,INPP5J,Body,CD19
cg13712154,0.139491692216138,0.848964447882184,0.709472755666046,70.95,Up,X,95939171,DIAPH2,TSS1500,CD19
cg00867406,0.249278347431885,0.958352023337591,0.709073675905706,70.91,Up,16,89997889,TUBB3,Body,CD19
cg27058221,0.181330206575389,0.889988594706002,0.708658388130613,70.87,Up,16,14766421,PLA2G10,3'UTR,CD19
cg10667102,0.254008930408771,0.961747577548663,0.707738647139893,70.77,Up,19,1265458,,,CD19
cg22793142,0.157300416190314,0.864994253524768,0.707693837334453,70.77,Up,1,207995752,LOC148696,Body,CD19
cg07841371,0.196933223285206,0.901455325585111,0.704522102299905,70.45,Up,1,1114912,TTLL10,Body; TSS200,CD19
cg11199827,0.226731099442247,0.930201202728062,0.703470103285816,70.35,Up,10,49881056,,,CD19
cg20452738,0.176776572902929,0.880058450281495,0.703281877378565,70.33,Up,1,226828650,ITPKB,Body,CD19
cg13823257,0.15530897481554,0.857737260271258,0.702428285455718,70.24,Up,9,35666823,,,CD19
cg16085171,0.202819263057057,0.904006116809013,0.701186853751956,70.12,Up,12,123569118,PITPNM2,5'UTR,CD19
cg04576021,0.15019574798039,0.848697911700843,0.698502163720452,69.85,Up,6,32784255,HLA-DOB,Body,CD19
cg17774764,0.111053972746948,0.808522643562903,0.697468670815955,69.75,Up,19,50921551,SPIB,TSS1500,CD19
cg08842021,0.166080214301657,0.863209187407855,0.697128973106198,69.71,Up,6,45481731,RUNX2,Body,CD19
cg00227665,0.123960319027665,0.818351749730742,0.694391430703077,69.44,Up,16,87735443,LOC100129637,Body,CD19
cg11375112,0.173669300038109,0.867691529748642,0.694022229710533,69.4,Up,12,11883006,ETV6,Body,CD19
cg14579184,0.140573157050483,0.834513130272174,0.693939973221691,69.39,Up,17,80873365,TBCD,Body,CD19
cg10443421,0.116788366999066,0.810010946573728,0.693222579574663,69.32,Up,16,56644991,,,CD19
cg12400702,0.218940144311226,0.912004849372512,0.693064705061286,69.31,Up,3,12838781,CAND2,Body,CD19
cg00178728,0.170656538133756,0.862453721298075,0.691797183164319,69.18,Up,4,22516158,GPR125,Body,CD19
cg13103051,0.145507772174853,0.836330088528764,0.690822316353911,69.08,Up,18,44260790,ST8SIA5,Body,CD19
cg02051688,0.179209545267003,0.869729244608287,0.690519699341284,69.05,Up,11,111568985,SIK2,Body,CD19
cg04190888,0.19220375313919,0.881351751098172,0.689147997958981,68.91,Up,10,49879914,,,CD19
cg26318872,0.218214279542674,0.905102756096027,0.686888476553353,68.69,Up,14,104158729,KLC1,Body,CD19
cg23948703,0.181000642469434,0.866792013517986,0.685791371048553,68.58,Up,17,42928238,EFTUD2,3'UTR,CD19
cg01868869,0.197767909478428,0.88289392469485,0.685126015216422,68.51,Up,14,50866735,,,CD19
cg17812123,0.231500863294806,0.916645687841079,0.685144824546273,68.51,Up,15,101696922,,,CD19
cg07836226,0.178040938173156,0.859161672658453,0.681120734485297,68.11,Up,1,8687954,RERE,Body,CD19
cg17622855,0.184301594810983,0.864051981798763,0.67975038698778,67.98,Up,6,157982358,ZDHHC14,Body,CD19
cg18495884,0.171633256353745,0.84893912540904,0.677305869055295,67.73,Up,7,2020099,MAD1L1,Body,CD19
cg11020333,0.264036810891043,0.940781698931552,0.676744888040509,67.67,Up,7,2861855,GNA12,Body,CD19
cg13125224,0.105733305213363,0.78230515124567,0.676571846032308,67.66,Up,6,6587445,LY86; LOC285780,TSS1500; Body,CD19
cg07262620,0.192201324412445,0.8673795941334,0.675178269720955,67.52,Up,2,47982632,,,CD19
cg15242630,0.160078041560867,0.834612198095592,0.674534156534725,67.45,Up,22,18488478,MICAL3,5'UTR,CD19
cg20604028,0.212838221279872,0.886956092524388,0.674117871244516,67.41,Up,8,29413587,,,CD19
cg20510988,0.085271056181517,0.759108184952557,0.67383712877104,67.38,Up,6,88851522,CNR1,3'UTR,CD19
cg01591579,0.272731000472253,0.946105006031589,0.673374005559336,67.34,Up,2,234111145,INPP5D,Body,CD19
cg22984894,0.158695732689527,0.832140174353882,0.673444441664354,67.34,Up,10,4163631,,,CD19
cg03794491,0.234311567349232,0.907501111290081,0.67318954394085,67.32,Up,6,32783387,HLA-DOB,Body,CD19
cg04103645,0.151351831554075,0.823137801717948,0.671785970163874,67.18,Up,13,51898948,,,CD19
cg00113020,0.235013396803624,0.906641851587475,0.67162845478385,67.16,Up,19,55173482,LILRB4,TSS1500,CD19
cg20943999,0.278822667821151,0.949473654622215,0.670650986801064,67.07,Up,11,85453669,SYTL2,Body,CD19
cg07145038,0.192039773422539,0.862314456530299,0.67027468310776,67.03,Up,5,55374514,,,CD19
cg17120366,0.258608790341041,0.928594343651396,0.669985553310356,67,Up,10,28571322,MPP7,TSS1500,CD19
cg10443971,0.198257746670187,0.866120511031484,0.667862764361297,66.79,Up,11,47287606,NR1H3,Body,CD19
cg21997986,0.177345986021896,0.845035954641315,0.667689968619418,66.77,Up,4,102745414,BANK1,Body; 5'UTR,CD19
cg02095334,0.140922487309072,0.804742618537367,0.663820131228295,66.38,Up,6,33138108,COL11A2,Body,CD19
cg10168330,0.123541928763713,0.787280464680924,0.663738535917212,66.37,Up,8,27262164,PTK2B,Body,CD19
cg17581870,0.203209756875934,0.866697750600727,0.663487993724793,66.35,Up,7,1062965,C7orf50; MIR339,Body; TSS1500,CD19
cg16325984,0.189791417638934,0.852756728623724,0.66296531098479,66.3,Up,2,240291068,HDAC4,5'UTR,CD19
cg16698623,0.183814774406554,0.845261389119226,0.661446614712672,66.14,Up,10,131412968,MGMT,Body,CD19
cg02585724,0.134137640950054,0.795344953741946,0.661207312791892,66.12,Up,15,81116461,KIAA1199,5'UTR,CD19
cg14102807,0.138558410870728,0.798271344481026,0.659712933610298,65.97,Up,16,28943677,CD19,Body,CD19
cg23344706,0.196579365212332,0.854857067963603,0.658277702751271,65.83,Up,3,172593877,,,CD19
