variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
CpG_14062,CD14,CD19,2,8,-20.6692314633208,7.57451345993538,6.16E-08,3.5112E-06,****
CpG_14062,CD14,CD4,2,12,-35.7298408153507,11.9001954081523,1.78E-13,1.1748E-11,****
CpG_14062,CD14,CD56,2,12,-36.2374005189911,11.7382926236594,2.05E-13,1.312E-11,****
CpG_14062,CD14,CD8,2,12,-26.8300399026394,11.90775736806,5.12E-12,3.1232E-10,****
CpG_14063.cg23244761,CD14,CD19,2,8,-19.8197020626526,7.01379381667015,2.04E-07,1.0812E-05,****
CpG_14063.cg23244761,CD14,CD4,2,12,-48.608416445631,11.1050551209692,2.71E-14,1.9241E-12,****
CpG_14063.cg23244761,CD14,CD56,2,12,-56.9210224311759,11.1470115766812,4.28E-15,3.3384E-13,****
CpG_14063.cg23244761,CD14,CD8,2,12,-51.1742563225099,11.1140620036065,1.5E-14,1.095E-12,****
CpG_14064,CD14,CD19,2,8,-19.651518066436,7.51191434501673,9.88E-08,5.5328E-06,****
CpG_14064,CD14,CD4,2,12,-39.4322523192646,11.5374883355952,1.15E-13,7.82E-12,****
CpG_14064,CD14,CD56,2,12,-48.6111668391557,9.67369192804982,6.92E-13,4.2904E-11,****
CpG_14064,CD14,CD8,2,12,-36.8261868824471,11.6849587042588,1.89E-13,1.2285E-11,****
CpG_14065,CD14,CD19,2,8,-23.4786313078057,7.28179787016942,3.94E-08,2.2852E-06,****
CpG_14065,CD14,CD4,2,12,-50.3408254436591,11.9945822985096,2.51E-15,2.008E-13,****
CpG_14065,CD14,CD56,2,12,-39.2564213520088,11.8047488294284,7.09E-14,4.963E-12,****
CpG_14065,CD14,CD8,2,12,-45.7506403256906,11.9263957741636,9.07E-15,6.8025E-13,****
cg10837404,CD14,CD4,2,12,24.7508647805662,6.37280150363466,1.42E-07,9.94E-07,****
cg10837404,CD19,CD4,8,12,21.5631340632249,17.7940202444261,3.35E-14,3.35E-13,****
cg10837404,CD4,CD56,12,12,-28.3404273811529,12.9870750594133,4.6E-13,4.14E-12,****
cg10837404,CD4,CD8,12,12,-14.0481504055018,21.6734788669228,2.31E-12,1.848E-11,****
cg21596498,CD14,CD19,2,8,25.4694607427287,5.25073484734623,1.05E-06,2.625E-06,****
cg21596498,CD19,CD4,8,11,-31.3210492198146,7.44275051671461,3.56E-09,2.16E-08,****
cg21596498,CD19,CD56,8,12,-31.2730207964171,7.35216079257627,4.32E-09,2.16E-08,****
cg21596498,CD19,CD8,8,12,-32.2635596691618,7.03436300553707,6.62E-09,2.20666666666667E-08,****
cg02665297,CD14,CD19,2,8,13.3190978545064,7.9207662680414,1.06E-06,2.76521739130435E-06,****
cg02665297,CD19,CD4,8,12,-14.9959382369557,7.27132727160044,9.84E-07,2.68363636363636E-06,****
cg02665297,CD19,CD56,8,12,-13.3304513345798,9.38387220399455,2.07E-07,8.28E-07,****
cg02665297,CD19,CD8,8,12,-14.9207986248541,7.34557868759135,9.26E-07,2.64571428571429E-06,****
CpG.916,CD14,CD19,2,8,25.4124477936656,7.87493152234231,7.69E-09,5.7675E-08,****
CpG.916,CD19,CD4,8,12,-26.5800255454776,8.83665603260046,9.72E-10,1.458E-08,****
CpG.916,CD19,CD56,8,12,-16.9567428087094,17.1189549471006,3.87E-12,2.322E-10,****
CpG.916,CD19,CD8,8,12,-27.3902099204487,7.80762492371881,4.85E-09,4.71428571428571E-08,****
CpG.917,CD14,CD19,2,8,20.6005506843779,7.37983498622079,8.62E-08,4.525E-07,****
CpG.917,CD19,CD4,8,12,-20.8068071711133,7.3045566702742,9.05E-08,4.525E-07,****
CpG.917,CD19,CD56,8,12,-14.994274608495,16.1115213181901,6.94E-11,1.626E-09,****
CpG.917,CD19,CD8,8,12,-21.1463973606266,7.14534164262146,1.05E-07,4.84615384615385E-07,****
CpG.918,CD14,CD19,2,8,14.6699966641595,3.53331743009444,0.000272,0.00068,***
CpG.918,CD19,CD4,8,12,-22.3145548332063,7.75903870473143,2.56E-08,1.70666666666667E-07,****
CpG.918,CD19,CD56,8,12,-16.7591061341141,14.3333455241531,8.13E-11,1.626E-09,****
CpG.918,CD19,CD8,8,12,-22.655499886071,7.4503987926231,3.83E-08,2.298E-07,****
CpG.919,CD14,CD19,2,8,16.9322306561278,7.91341100837578,1.69E-07,7.24285714285714E-07,****
CpG.919,CD19,CD4,8,12,-18.4639700711693,7.1677219792076,2.63E-07,9.28235294117647E-07,****
CpG.919,CD19,CD56,8,12,-15.2011229791195,11.535900126331,5.5E-09,4.71428571428571E-08,****
CpG.919,CD19,CD8,8,12,-18.8098826228561,7.08647456401102,2.61E-07,9.28235294117647E-07,****
CpG.921,CD14,CD19,2,8,16.3195031895309,7.16765506709485,6.25E-07,1.965E-06,****
CpG.921,CD19,CD4,8,12,-16.0063864469194,7.23191651384155,6.55E-07,1.965E-06,****
CpG.921,CD19,CD56,8,12,-12.3746446091995,14.2869004837062,4.99E-09,4.71428571428571E-08,****
CpG.921,CD19,CD8,8,12,-16.4346824739878,7.14615014528558,6.13E-07,1.965E-06,****
cg27565966,CD14,CD19,2,8,19.4210267514016,2.51457072781973,0.000833,0.001514545454545,**
cg27565966,CD19,CD4,8,12,-32.2884282820485,6.3039140591858,3.06E-08,7.65E-08,****
cg27565966,CD19,CD56,8,12,-24.335295238656,10.9170405220024,7.34E-11,8.13333333333333E-10,****
cg27565966,CD19,CD8,8,12,-28.2650719056535,9.91633410510905,8.27E-11,8.13333333333333E-10,****
CpG7,CD14,CD19,2,8,11.8277904563735,1.5600017382701,0.016,0.026666666666667,*
CpG7,CD19,CD4,8,12,-29.1886989446517,6.86476650332088,1.86E-08,5.51428571428571E-08,****
CpG7,CD19,CD56,8,12,-22.8036965534419,7.82892033887236,1.93E-08,5.51428571428571E-08,****
CpG7,CD19,CD8,8,12,-28.0313727522515,7.0831412226648,1.61E-08,5.51428571428571E-08,****
